# n_maps=1, bsize=300, max_ell=10000, apod_width=100, unit_scale=1000000000000.0, normalize=phys, area_weighted=True
# fsky_eff_mean=1.942467e-03, fsky_eff_std=0.000000e+00
# fsky_full_mean=2.420993e-03, fsky_full_std=0.000000e+00
# patch_index=0 file=y_map_10.0deg_0.500arcmin_201.fits
ell,D_ell_mean,D_ell_std,D_ell_patch0
201.33498644522007,0.05945396780455202,0.0,0.05945396780455202
468.5258451222637,0.1756810333058084,0.0,0.1756810333058084
758.2509974662598,0.2914543244586724,0.0,0.2914543244586724
1056.840508664135,0.3572319061722449,0.0,0.3572319061722449
1356.8651667844022,0.41156218036132003,0.0,0.41156218036132003
1653.0091886755044,0.4274215780432219,0.0,0.4274215780432219
1954.0590925858498,0.3866051053678658,0.0,0.3866051053678658
2255.0277242850943,0.3969437931941484,0.0,0.3969437931941484
2552.012849273637,0.38831260880668683,0.0,0.38831260880668683
2852.1638449033117,0.3543189163828544,0.0,0.3543189163828544
3153.0412883359927,0.33629015611707297,0.0,0.33629015611707297
3451.9988551212828,0.32701166938518655,0.0,0.32701166938518655
3752.4026367593415,0.2976296490792816,0.0,0.2976296490792816
4052.1491112030853,0.2895909171075406,0.0,0.2895909171075406
4351.133214116053,0.28115748333787927,0.0,0.28115748333787927
4651.640086459849,0.25303035618203273,0.0,0.25303035618203273
4952.093709702026,0.24670768009356514,0.0,0.24670768009356514
5250.973802039304,0.2309411942148487,0.0,0.2309411942148487
5550.670736595339,0.23197530916115922,0.0,0.23197530916115922
5851.409845434196,0.2206864952836168,0.0,0.2206864952836168
6151.320337372525,0.2067618582929071,0.0,0.2067618582929071
6451.270612242249,0.19851622422876222,0.0,0.19851622422876222
6751.221056274258,0.190457590333469,0.0,0.190457590333469
7050.689447862579,0.17766998350588936,0.0,0.17766998350588936
7350.8687472034235,0.17242210728601703,0.0,0.17242210728601703
7651.40650854652,0.16833201887088836,0.0,0.16833201887088836
7950.5273802766815,0.15666628535969643,0.0,0.15666628535969643
8250.150852955892,0.1505225140867581,0.0,0.1505225140867581
8551.055979738398,0.14412566899942603,0.0,0.14412566899942603
8850.9556684958,0.13674989722078532,0.0,0.13674989722078532
9150.536370332984,0.13115359025046078,0.0,0.13115359025046078
9450.819157556838,0.12574856002490048,0.0,0.12574856002490048
9750.787859447591,0.12381767084646458,0.0,0.12381767084646458
