# n_maps=2, bsize=300, max_ell=10000, apod_width=100, unit_scale=1000000000000.0, normalize=phys, area_weighted=True
# fsky_eff_mean=1.942467e-03, fsky_eff_std=0.000000e+00
# fsky_full_mean=2.420993e-03, fsky_full_std=0.000000e+00
# patch_index=0 file=y_map_10.0deg_0.500arcmin_250.fits
# patch_index=1 file=y_map_10.0deg_0.500arcmin_251.fits
ell,D_ell_mean,D_ell_std,D_ell_patch0,D_ell_patch1
201.33498644522007,0.11496585072172626,0.018729927610177496,0.1017217918974366,0.1282099095460159
468.5258451222637,0.21663966744360702,0.017155479987149096,0.2045089112101838,0.22877042367703027
758.2509974662598,0.39789574921806525,0.006129215619014086,0.39356173929050586,0.4022297591456246
1056.840508664135,0.6108601403621812,0.06512305433311298,0.564811187031657,0.6569090936927053
1356.8651667844022,0.734682360135508,0.03351049074024738,0.7109868648921901,0.758377855378826
1653.0091886755044,0.8394086256669107,0.07897885497098422,0.7835621417465789,0.8952551095872425
1954.0590925858498,0.9422027541884184,0.024167411272459596,0.925113813793938,0.9592916945828988
2255.0277242850943,0.978688457908319,0.058693670551373096,0.937185765448714,1.0201911503679242
2552.012849273637,1.0809268829146321,0.0229429758798985,1.0647037490893565,1.0971500167399078
2852.1638449033117,1.0940581771662128,0.052137823026284336,1.0571911689480231,1.1309251853844027
3153.0412883359927,1.1013442605593653,0.037294223903881325,1.0749732619378414,1.1277152591808892
3451.9988551212828,1.11800264085729,0.04205770220334589,1.0882633544281797,1.1477419272864002
3752.4026367593415,1.1184269102322815,0.04769703150020372,1.0847000158160192,1.152153804648544
4052.1491112030853,1.122062290223579,0.010615426003226921,1.1145560505115133,1.1295685299356448
4351.133214116053,1.0954803583603314,0.0013235603481640444,1.0964162568578277,1.0945444598628349
4651.640086459849,1.082169528197865,0.023761691492877834,1.0653674750107884,1.0989715813849417
4952.093709702026,1.0679104360799863,0.04363943296004454,1.037052697106803,1.0987681750531695
5250.973802039304,1.0521618480284771,0.02438704175565605,1.0349176054299731,1.0694060906269809
5550.670736595339,1.0213785869114487,0.032994822468907385,0.998047724199638,1.0447094496232594
5851.409845434196,1.015247165127064,0.05326152314448063,0.9775855809352775,1.0529087493188505
6151.320337372525,0.9821073047027773,0.01219337489034326,0.9734852866322657,0.9907293227732887
6451.270612242249,0.94735134419829,0.014087764029184664,0.9373897907214976,0.9573128976750824
6751.221056274258,0.9155377103949662,0.015212034663872394,0.9047811775284973,0.9262942432614353
7050.689447862579,0.9097219985084554,0.0030222020889344747,0.9075849789172536,0.9118590180996571
7350.8687472034235,0.8770368895859316,0.01581818970308571,0.8658517403807845,0.8882220387910787
7651.40650854652,0.8441677657594231,0.010028473730980009,0.837076563979296,0.8512589675395502
7950.5273802766815,0.8258118788355142,0.035298415258917616,0.8008521300407949,0.8507716276302336
8250.150852955892,0.8070529578210035,0.011798325462234256,0.7987102818800118,0.8153956337619953
8551.055979738398,0.7778897054239851,0.00245541795724954,0.7761534627357667,0.7796259481122034
8850.9556684958,0.7458634815126878,0.021400116836280146,0.7307313137795697,0.7609956492458059
9150.536370332984,0.7192441655565385,0.01607575800936418,0.7078768880554032,0.7306114430576739
9450.819157556838,0.7080235705688256,0.008793629691149184,0.7018055353829706,0.7142416057546805
9750.787859447591,0.6850285816403145,0.01757519425712534,0.6726010426004304,0.6974561206801988
