# n_maps=1, bsize=300, max_ell=10000, apod_width=100, unit_scale=1000000000000.0, normalize=phys, area_weighted=True
# fsky_eff_mean=1.942467e-03, fsky_eff_std=0.000000e+00
# fsky_full_mean=2.420993e-03, fsky_full_std=0.000000e+00
# patch_index=0 file=y_map_10.0deg_0.500arcmin_38.fits
ell,D_ell_mean,D_ell_std,D_ell_patch0
201.33498644522007,0.028831705898232415,0.0,0.028831705898232415
468.5258451222637,0.06287765906709161,0.0,0.06287765906709161
758.2509974662598,0.08638752198051702,0.0,0.08638752198051702
1056.840508664135,0.10637990636852436,0.0,0.10637990636852436
1356.8651667844022,0.1123417626917756,0.0,0.1123417626917756
1653.0091886755044,0.12384685279118918,0.0,0.12384685279118918
1954.0590925858498,0.13628698420199267,0.0,0.13628698420199267
2255.0277242850943,0.1414396075638213,0.0,0.1414396075638213
2552.012849273637,0.14540691465039024,0.0,0.14540691465039024
2852.1638449033117,0.15152157862296517,0.0,0.15152157862296517
3153.0412883359927,0.15502829026473358,0.0,0.15502829026473358
3451.9988551212828,0.15115445031461872,0.0,0.15115445031461872
3752.4026367593415,0.16285133132022567,0.0,0.16285133132022567
4052.1491112030853,0.16139992326019642,0.0,0.16139992326019642
4351.133214116053,0.15699673920825236,0.0,0.15699673920825236
4651.640086459849,0.1540136130648664,0.0,0.1540136130648664
4952.093709702026,0.15344082507839654,0.0,0.15344082507839654
5250.973802039304,0.1550323661993794,0.0,0.1550323661993794
5550.670736595339,0.1483502631999013,0.0,0.1483502631999013
5851.409845434196,0.14801075184147328,0.0,0.14801075184147328
6151.320337372525,0.14260241758569608,0.0,0.14260241758569608
6451.270612242249,0.13841395924806818,0.0,0.13841395924806818
6751.221056274258,0.1349156967770208,0.0,0.1349156967770208
7050.689447862579,0.13109493248719067,0.0,0.13109493248719067
7350.8687472034235,0.12843666433657083,0.0,0.12843666433657083
7651.40650854652,0.12394432762663754,0.0,0.12394432762663754
7950.5273802766815,0.11558148366279261,0.0,0.11558148366279261
8250.150852955892,0.11459159990586425,0.0,0.11459159990586425
8551.055979738398,0.10943536781978591,0.0,0.10943536781978591
8850.9556684958,0.10860140203251953,0.0,0.10860140203251953
9150.536370332984,0.1033202320731847,0.0,0.1033202320731847
9450.819157556838,0.10103779236040836,0.0,0.10103779236040836
9750.787859447591,0.0973480259523035,0.0,0.0973480259523035
