# n_samples=1, J=7, L=4, M=1200, N=1200, whiten=False, device=cpu, kinds=S1,S2,S0
sample,kind,index,value
0,S0,0,2.906289182647015e-07
0,S1,0,3.4012469285471525e-08
0,S1,1,6.544238573269467e-08
0,S1,2,1.0878446232709393e-07
0,S1,3,1.4796124503391184e-07
0,S1,4,1.5534871522504545e-07
0,S1,5,1.2736572330140916e-07
0,S1,6,9.161101388599491e-08
0,S2,0,5.1912829590605725e-09
0,S2,1,5.881052977940726e-09
0,S2,2,6.2484613039259784e-09
0,S2,3,5.881529041573685e-09
0,S2,4,1.0568887987005837e-08
0,S2,5,1.2142079341970202e-08
0,S2,6,1.3134371812384416e-08
0,S2,7,1.2141830652012686e-08
0,S2,8,1.781915059950734e-08
0,S2,9,1.9494942549158623e-08
0,S2,10,2.0774068687501313e-08
0,S2,11,1.9493041847340464e-08
0,S2,12,2.2134427624109776e-08
0,S2,13,2.3179625330271847e-08
0,S2,14,2.4079611193883466e-08
0,S2,15,2.318329173078837e-08
0,S2,16,1.9598239475726587e-08
0,S2,17,2.0027389524557293e-08
0,S2,18,2.042573044036544e-08
0,S2,19,2.0031919234497764e-08
0,S2,20,1.26899646346601e-08
0,S2,21,1.2824071582429042e-08
0,S2,22,1.2940159166419107e-08
0,S2,23,1.28268604626669e-08
0,S2,24,7.327291662306834e-09
0,S2,25,7.369012067215408e-09
0,S2,26,7.398541335135178e-09
0,S2,27,7.356530495883362e-09
0,S2,28,
0,S2,29,
0,S2,30,
0,S2,31,
0,S2,32,1.3097441353693284e-08
0,S2,33,1.4878186682665273e-08
0,S2,34,1.568096941184649e-08
0,S2,35,1.4872006737221e-08
0,S2,36,2.72526392564032e-08
0,S2,37,2.954918443265342e-08
0,S2,38,3.0966106123742065e-08
0,S2,39,2.95411268780299e-08
0,S2,40,3.923445746067955e-08
0,S2,41,4.089638139248564e-08
0,S2,42,4.221296023843024e-08
0,S2,43,4.089738325774306e-08
0,S2,44,3.698009720665141e-08
0,S2,45,3.773458345790459e-08
0,S2,46,3.8418310310817105e-08
0,S2,47,3.7745884640116856e-08
0,S2,48,2.4629180472857115e-08
0,S2,49,2.4882332638753724e-08
0,S2,50,2.511328034415783e-08
0,S2,51,2.4889150296303342e-08
0,S2,52,1.4443737761382636e-08
0,S2,53,1.4517402391334144e-08
0,S2,54,1.4569694783972409e-08
0,S2,55,1.4494352384986087e-08
0,S2,56,
0,S2,57,
0,S2,58,
0,S2,59,
0,S2,60,
0,S2,61,
0,S2,62,
0,S2,63,
0,S2,64,2.5890026122965537e-08
0,S2,65,2.8535387386341426e-08
0,S2,66,2.9646397337046437e-08
0,S2,67,2.853478164865919e-08
0,S2,68,4.900746475300366e-08
0,S2,69,5.1604565953766723e-08
0,S2,70,5.321498619537124e-08
