# n_samples=1, J=7, L=4, M=1200, N=1200, whiten=False, device=cpu, kinds=S1,S2,S0
sample,kind,index,value
0,S0,0,3.6933823821527767e-07
0,S1,0,4.004309772653869e-08
0,S1,1,7.656328193661466e-08
0,S1,2,1.2588782283273758e-07
0,S1,3,1.673660960932466e-07
0,S1,4,1.782739218469942e-07
0,S1,5,1.5601803227127675e-07
0,S1,6,1.1805315125457128e-07
0,S2,0,6.199174062970769e-09
0,S2,1,7.003536417471423e-09
0,S2,2,7.434895810121134e-09
0,S2,3,7.003176705211445e-09
0,S2,4,1.266008098355087e-08
0,S2,5,1.4460838748675542e-08
0,S2,6,1.5606104852849967e-08
0,S2,7,1.4456205121859966e-08
0,S2,8,2.1152882112573934e-08
0,S2,9,2.3014358419004566e-08
0,S2,10,2.4455442115822734e-08
0,S2,11,2.3011807570583187e-08
0,S2,12,2.5311258866622666e-08
0,S2,13,2.6451806078853224e-08
0,S2,14,2.7435161698008415e-08
0,S2,15,2.646040542231276e-08
0,S2,16,2.160152234864654e-08
0,S2,17,2.209270988373646e-08
0,S2,18,2.2543190425494686e-08
0,S2,19,2.210589755691217e-08
0,S2,20,1.3781486174480051e-08
0,S2,21,1.3952389465998749e-08
0,S2,22,1.4122637281843708e-08
0,S2,23,1.395209192622815e-08
0,S2,24,7.392419565377395e-09
0,S2,25,7.427984893837447e-09
0,S2,26,7.481445685186827e-09
0,S2,27,7.445739580447253e-09
0,S2,28,
0,S2,29,
0,S2,30,
0,S2,31,
0,S2,32,1.5424081567516623e-08
0,S2,33,1.7449414357884052e-08
0,S2,34,1.8371192567201433e-08
0,S2,35,1.7446179612079504e-08
0,S2,36,3.185448704812188e-08
0,S2,37,3.442611173909427e-08
0,S2,38,3.6036706063669044e-08
0,S2,39,3.442069029802042e-08
0,S2,40,4.432740752235986e-08
0,S2,41,4.6167642153704946e-08
0,S2,42,4.762283722925531e-08
0,S2,43,4.617906412818229e-08
0,S2,44,4.0402266421324384e-08
0,S2,45,4.131398867457392e-08
0,S2,46,4.212180826357326e-08
0,S2,47,4.132734687800621e-08
0,S2,48,2.667830578673147e-08
0,S2,49,2.7019609660783317e-08
0,S2,50,2.7343016739678205e-08
0,S2,51,2.6999110502856638e-08
0,S2,52,1.4569376816098156e-08
0,S2,53,1.4683032567575083e-08
0,S2,54,1.476804634137352e-08
0,S2,55,1.4656080793429282e-08
0,S2,56,
0,S2,57,
0,S2,58,
0,S2,59,
0,S2,60,
0,S2,61,
0,S2,62,
0,S2,63,
0,S2,64,2.9242972487963925e-08
0,S2,65,3.233382983580668e-08
0,S2,66,3.3681569533428046e-08
0,S2,67,3.232186784885016e-08
0,S2,68,5.411399328636435e-08
0,S2,69,5.712856321338222e-08
0,S2,70,5.898403543369568e-08
0,S2,71,5.714358408681619e-08
0,S2,72,6.06347754228409e-08
0,S2,73,6.218655101974946e-08
0,S2,74,6.3474416833742e-08
0,S2,75,6.222622062068695e-08
0,S2,76,4.40811191992907e-08
0,S2,77,4.476005344145051e-08
0,S2,78,4.530499708721436e-08
0,S2,79,4.472359194096498e-08
0,S2,80,2.5376692747158813e-08
0,S2,81,2.5631990752117417e-08
0,S2,82,2.5759653965451434e-08
0,S2,83,2.551152888941033e-08
0,S2,84,
0,S2,85,
0,S2,86,
0,S2,87,
0,S2,88,
0,S2,89,
0,S2,90,
0,S2,91,
0,S2,92,
0,S2,93,
0,S2,94,
0,S2,95,
0,S2,96,3.7219216153516754e-08
0,S2,97,4.088485638931161e-08
0,S2,98,4.2687346990533115e-08
0,S2,99,4.0984055260651076e-08
0,S2,100,5.925987522914511e-08
0,S2,101,6.240568239945787e-08
0,S2,102,6.451782041949627e-08
0,S2,103,6.249590001061733e-08
0,S2,104,5.606745645536648e-08
0,S2,105,5.752350418219976e-08
0,S2,106,5.8554796567023004e-08
0,S2,107,5.737330965871479e-08
0,S2,108,3.7073462522130285e-08
0,S2,109,3.7391234997130596e-08
0,S2,110,3.7467870583896e-08
0,S2,111,3.724267827465155e-08
0,S2,112,
0,S2,113,
0,S2,114,
0,S2,115,
0,S2,116,
0,S2,117,
0,S2,118,
0,S2,119,
0,S2,120,
0,S2,121,
0,S2,122,
0,S2,123,
0,S2,124,
0,S2,125,
0,S2,126,
0,S2,127,
0,S2,128,3.44228716642192e-08
0,S2,129,3.823050676032835e-08
0,S2,130,4.042215451249831e-08
0,S2,131,3.834531980828615e-08
0,S2,132,5.0762722025865514e-08
0,S2,133,5.327292029733144e-08
0,S2,134,5.5192639791812326e-08
0,S2,135,5.336259789601172e-08
0,S2,136,4.552355648002049e-08
0,S2,137,4.6180407053952877e-08
0,S2,138,4.6843354084558086e-08
0,S2,139,4.6421924082551413e-08
0,S2,140,
0,S2,141,
0,S2,142,
0,S2,143,
0,S2,144,
0,S2,145,
0,S2,146,
0,S2,147,
0,S2,148,
0,S2,149,
0,S2,150,
0,S2,151,
0,S2,152,
0,S2,153,
0,S2,154,
0,S2,155,
0,S2,156,
0,S2,157,
0,S2,158,
0,S2,159,
0,S2,160,2.8972380050618085e-08
0,S2,161,3.233806467051181e-08
0,S2,162,3.4573616858324385e-08
0,S2,163,3.22892823589882e-08
