# n_samples=1, J=7, L=4, M=1200, N=1200, whiten=False, device=cpu, kinds=S1,S2,S0
sample,kind,index,value
0,S0,0,1.3251433017558156e-07
0,S1,0,1.705609165014721e-08
0,S1,1,3.287215122327325e-08
0,S1,2,5.485263443461008e-08
0,S1,3,7.540410251749563e-08
0,S1,4,8.067885204354752e-08
0,S1,5,6.520979667357096e-08
0,S1,6,4.3044842357176094e-08
0,S2,0,2.636595608507264e-09
0,S2,1,2.9912825549871513e-09
0,S2,2,3.1824867186003303e-09
0,S2,3,2.9910927068499404e-09
0,S2,4,5.406450398481866e-09
0,S2,5,6.218303205685061e-09
0,S2,6,6.725157319920072e-09
0,S2,7,6.217331538493909e-09
0,S2,8,9.279470525314082e-09
0,S2,9,1.0140583484030685e-08
0,S2,10,1.0793232974037892e-08
0,S2,11,1.0138149875160707e-08
0,S2,12,1.1942846711576749e-08
0,S2,13,1.2482269440283744e-08
0,S2,14,1.294696527764927e-08
0,S2,15,1.248219216876123e-08
0,S2,16,1.1349663431303725e-08
0,S2,17,1.1563868085318063e-08
0,S2,18,1.1763944485210232e-08
0,S2,19,1.1565697732862645e-08
0,S2,20,7.78935049794427e-09
0,S2,21,7.836019833007413e-09
0,S2,22,7.892396958197878e-09
0,S2,23,7.843656391059994e-09
0,S2,24,4.339647752260589e-09
0,S2,25,4.34157154671766e-09
0,S2,26,4.356004446037787e-09
0,S2,27,4.3509729152901855e-09
0,S2,28,
0,S2,29,
0,S2,30,
0,S2,31,
0,S2,32,6.754650172524634e-09
0,S2,33,7.670903023893061e-09
0,S2,34,8.075981661193055e-09
0,S2,35,7.670147184057896e-09
0,S2,36,1.4304389672759044e-08
0,S2,37,1.545800287772181e-08
0,S2,38,1.617020828348359e-08
0,S2,39,1.545507544165048e-08
0,S2,40,2.127044496091912e-08
0,S2,41,2.210094507404392e-08
0,S2,42,2.2762508322671238e-08
0,S2,43,2.2102065955209582e-08
0,S2,44,2.1414257034280126e-08
0,S2,45,2.1782033954309554e-08
0,S2,46,2.2115642650533118e-08
0,S2,47,2.17854534412254e-08
0,S2,48,1.508312408304846e-08
0,S2,49,1.517340209034046e-08
0,S2,50,1.5272137332544844e-08
0,S2,51,1.5181679913212065e-08
0,S2,52,8.48618064708262e-09
0,S2,53,8.502478721084117e-09
0,S2,54,8.531669593025981e-09
0,S2,55,8.516146898784882e-09
0,S2,56,
0,S2,57,
0,S2,58,
0,S2,59,
0,S2,60,
0,S2,61,
0,S2,62,
0,S2,63,
0,S2,64,1.3621069605562752e-08
0,S2,65,1.4988872365506722e-08
0,S2,66,1.557529571982741e-08
0,S2,67,1.4981480944697978e-08
0,S2,68,2.6811122211256588e-08
0,S2,69,2.8074566671421053e-08
0,S2,70,2.885969863086757e-08
0,S2,71,2.806507204411446e-08
0,S2,72,3.2633586499741796e-08
0,S2,73,3.3212771199941926e-08
0,S2,74,3.368649714730054e-08
0,S2,75,3.320792529848404e-08
0,S2,76,2.503887230886903e-08
0,S2,77,2.5200366238209426e-08
0,S2,78,2.535591114849467e-08
0,S2,79,2.518368447113062e-08
0,S2,80,1.4586587937515105e-08
0,S2,81,1.4637660861183122e-08
0,S2,82,1.4691574179437339e-08
0,S2,83,1.4637794087946077e-08
0,S2,84,
0,S2,85,
0,S2,86,
0,S2,87,
