# n_samples=1, J=7, L=4, M=1200, N=1200, whiten=False, device=cpu, kinds=S1,S2,S0
sample,kind,index,value
0,S0,0,4.466040195438836e-07
0,S1,0,4.974209133479235e-08
0,S1,1,9.473081519217885e-08
0,S1,2,1.5482035564673424e-07
0,S1,3,2.0408700152074744e-07
0,S1,4,2.0869968864190014e-07
0,S1,5,1.7458009438087174e-07
0,S1,6,1.275748786611075e-07
0,S2,0,7.75771802352665e-09
0,S2,1,8.751495528258602e-09
0,S2,2,9.283581903218874e-09
0,S2,3,8.749876378999488e-09
0,S2,4,1.576544406134417e-08
0,S2,5,1.7987636269367613e-08
0,S2,6,1.9398045836283018e-08
0,S2,7,1.7984698175155245e-08
0,S2,8,2.609299265543541e-08
0,S2,9,2.8367155735509186e-08
0,S2,10,3.012546301306429e-08
0,S2,11,2.8366544668756433e-08
0,S2,12,3.0788516625079865e-08
0,S2,13,3.2196307842013994e-08
0,S2,14,3.339698650961509e-08
0,S2,15,3.2178384401504445e-08
0,S2,16,2.509573882036875e-08
0,S2,17,2.5657696411940378e-08
0,S2,18,2.6164656219407334e-08
0,S2,19,2.5649057988630375e-08
0,S2,20,1.583566344720566e-08
0,S2,21,1.6025026638999407e-08
0,S2,22,1.6198558938640417e-08
0,S2,23,1.6007053460498355e-08
0,S2,24,8.526686912091463e-09
0,S2,25,8.57823145850034e-09
0,S2,26,8.634168935373054e-09
0,S2,27,8.585916866366006e-09
0,S2,28,
0,S2,29,
0,S2,30,
0,S2,31,
0,S2,32,1.908642666137439e-08
0,S2,33,2.157696599169867e-08
0,S2,34,2.2694313983606662e-08
0,S2,35,2.1571214148252693e-08
0,S2,36,3.9109746552412616e-08
0,S2,37,4.22667447708136e-08
0,S2,38,4.422997434971876e-08
0,S2,39,4.2258232468839196e-08
0,S2,40,5.364102051430564e-08
0,S2,41,5.594054997004605e-08
0,S2,42,5.7731497804525134e-08
0,S2,43,5.5897821482631116e-08
0,S2,44,4.6910471951377986e-08
0,S2,45,4.795053953898787e-08
0,S2,46,4.88300528900254e-08
0,S2,47,4.7917758649873576e-08
0,S2,48,3.054503849853063e-08
0,S2,49,3.09315275615063e-08
0,S2,50,3.1272126221892904e-08
0,S2,51,3.089893851893066e-08
0,S2,52,1.671088334376236e-08
0,S2,53,1.6862362173242218e-08
0,S2,54,1.6953661585716873e-08
0,S2,55,1.681339512060731e-08
0,S2,56,
0,S2,57,
0,S2,58,
0,S2,59,
0,S2,60,
0,S2,61,
0,S2,62,
0,S2,63,
0,S2,64,3.56791716171756e-08
0,S2,65,3.945085325085529e-08
0,S2,66,4.110612650265466e-08
0,S2,67,3.942999171613337e-08
0,S2,68,6.478077096971901e-08
0,S2,69,6.859507806211695e-08
0,S2,70,7.093996856610829e-08
0,S2,71,6.85477274942059e-08
0,S2,72,7.03446900729432e-08
0,S2,73,7.212452146632131e-08
0,S2,74,7.352955577744069e-08
0,S2,75,7.212340591422617e-08
0,S2,76,5.053060903037476e-08
0,S2,77,5.126052826653904e-08
0,S2,78,5.188191565252964e-08
0,S2,79,5.121260215901202e-08
0,S2,80,2.9004160850831795e-08
0,S2,81,2.9415268443244713e-08
0,S2,82,2.9496424858166392e-08
0,S2,83,2.9157874337215617e-08
0,S2,84,
0,S2,85,
0,S2,86,
0,S2,87,
0,S2,88,
0,S2,89,
0,S2,90,
0,S2,91,
0,S2,92,
0,S2,93,
0,S2,94,
0,S2,95,
0,S2,96,4.394797059603661e-08
0,S2,97,4.882510751258451e-08
0,S2,98,5.1136527901007867e-08
0,S2,99,4.8795971707704666e-08
0,S2,100,6.957955633879465e-08
0,S2,101,7.311999894454857e-08
0,S2,102,7.562331916233234e-08
0,S2,103,7.328904416681326e-08
0,S2,104,6.508295058438307e-08
0,S2,105,6.621864656608523e-08
0,S2,106,6.7487938792965e-08
0,S2,107,6.648873807080236e-08
0,S2,108,4.273403675369991e-08
0,S2,109,4.2951072032337834e-08
0,S2,110,4.364044769999964e-08
0,S2,111,4.3404611460573506e-08
0,S2,112,
0,S2,113,
0,S2,114,
0,S2,115,
0,S2,116,
0,S2,117,
0,S2,118,
0,S2,119,
0,S2,120,
0,S2,121,
0,S2,122,
0,S2,123,
0,S2,124,
0,S2,125,
0,S2,126,
0,S2,127,
0,S2,128,4.010882648231018e-08
0,S2,129,4.436796174900337e-08
0,S2,130,4.668672204388713e-08
0,S2,131,4.420979848873685e-08
0,S2,132,5.6877272669453305e-08
0,S2,133,5.980000139516051e-08
0,S2,134,6.180075473594115e-08
0,S2,135,5.962560578609555e-08
0,S2,136,5.1870237882667425e-08
0,S2,137,5.247929735219259e-08
0,S2,138,5.340051600910556e-08
0,S2,139,5.290189619699959e-08
0,S2,140,
0,S2,141,
0,S2,142,
0,S2,143,
0,S2,144,
0,S2,145,
0,S2,146,
0,S2,147,
0,S2,148,
0,S2,149,
0,S2,150,
0,S2,151,
0,S2,152,
0,S2,153,
0,S2,154,
0,S2,155,
0,S2,156,
0,S2,157,
0,S2,158,
0,S2,159,
0,S2,160,3.1211786932772156e-08
0,S2,161,3.4912929436359263e-08
0,S2,162,3.675901893984701e-08
0,S2,163,3.4237920942814526e-08
0,S2,164,4.477071513520059e-08
0,S2,165,4.6398998421182114e-08
0,S2,166,4.80459902973962e-08
0,S2,167,4.6496850814037316e-08
0,S2,168,
0,S2,169,
0,S2,170,
0,S2,171,
0,S2,172,
0,S2,173,
0,S2,174,
0,S2,175,
0,S2,176,
0,S2,177,
0,S2,178,
0,S2,179,
0,S2,180,
0,S2,181,
0,S2,182,
0,S2,183,
0,S2,184,
0,S2,185,
0,S2,186,
0,S2,187,
0,S2,188,
0,S2,189,
0,S2,190,
0,S2,191,
0,S2,192,2.2005494315635588e-08
0,S2,193,2.426583378678515e-08
0,S2,194,2.546449096030301e-08
0,S2,195,2.4877289561686666e-08
