# n_samples=1, J=7, L=4, M=1200, N=1200, whiten=False, device=cpu, kinds=S1,S2,S0
sample,kind,index,value
0,S0,0,4.2452728621356073e-07
0,S1,0,3.9190396705635067e-08
0,S1,1,7.492722176039024e-08
0,S1,2,1.2332917265212018e-07
0,S1,3,1.630449730782857e-07
0,S1,4,1.66109543897619e-07
0,S1,5,1.4417112481623917e-07
0,S1,6,1.199325083689473e-07
0,S2,0,6.1265579276437165e-09
0,S2,1,6.9076078190732915e-09
0,S2,2,7.3158101798753705e-09
0,S2,3,6.907852068138709e-09
0,S2,4,1.2480817268567534e-08
0,S2,5,1.4241630985623033e-08
0,S2,6,1.5343891490715578e-08
0,S2,7,1.4242720780544005e-08
0,S2,8,2.0925584820474796e-08
0,S2,9,2.2730294091388714e-08
0,S2,10,2.4119957586776763e-08
0,S2,11,2.2733216198389528e-08
0,S2,12,2.5309367046588704e-08
0,S2,13,2.6347333204057577e-08
0,S2,14,2.725405678916104e-08
0,S2,15,2.6347958481665046e-08
0,S2,16,2.1263506511104424e-08
0,S2,17,2.1625586654749895e-08
0,S2,18,2.1982838660505877e-08
0,S2,19,2.162275514194789e-08
0,S2,20,1.3605186310883255e-08
0,S2,21,1.3701213497085973e-08
0,S2,22,1.3836795709210037e-08
0,S2,23,1.3720034885977839e-08
0,S2,24,7.47459427685726e-09
0,S2,25,7.513194510977428e-09
0,S2,26,7.553243364100126e-09
0,S2,27,7.504826982085433e-09
0,S2,28,
0,S2,29,
0,S2,30,
0,S2,31,
0,S2,32,1.5257123564538233e-08
0,S2,33,1.7234604854365898e-08
0,S2,34,1.8105520638300732e-08
0,S2,35,1.724227161048475e-08
0,S2,36,3.1696259839009144e-08
0,S2,37,3.414031723991684e-08
0,S2,38,3.56607365858963e-08
0,S2,39,3.41492558675327e-08
0,S2,40,4.442035361762464e-08
0,S2,41,4.6056545244255176e-08
0,S2,42,4.7363251098886394e-08
0,S2,43,4.605637826671227e-08
0,S2,44,3.9727353851048974e-08
0,S2,45,4.038281531393295e-08
0,S2,46,4.099932837675624e-08
0,S2,47,4.036333933754577e-08
0,S2,48,2.6183750279074047e-08
0,S2,49,2.6397950492196287e-08
0,S2,50,2.667202814166103e-08
0,S2,51,2.6428882193840764e-08
0,S2,52,1.4623463329144215e-08
0,S2,53,1.4728293251664581e-08
0,S2,54,1.483208134089864e-08
0,S2,55,1.470569976902425e-08
0,S2,56,
0,S2,57,
0,S2,58,
0,S2,59,
0,S2,60,
0,S2,61,
0,S2,62,
0,S2,63,
0,S2,64,2.9280379010288016e-08
0,S2,65,3.218796251758249e-08
0,S2,66,3.3472730365247116e-08
0,S2,67,3.219032862489257e-08
0,S2,68,5.432264771343398e-08
0,S2,69,5.6984166718621054e-08
0,S2,70,5.8635826860609086e-08
0,S2,71,5.698382210539421e-08
0,S2,72,5.9546032105117774e-08
0,S2,73,6.064392721327749e-08
0,S2,74,6.160460230830722e-08
0,S2,75,6.06370207378859e-08
0,S2,76,4.2907178254836253e-08
0,S2,77,4.328627056793266e-08
0,S2,78,4.382281559855983e-08
0,S2,79,4.342738080254094e-08
0,S2,80,2.5062650621521243e-08
0,S2,81,2.526527431712111e-08
0,S2,82,2.541512067466556e-08
0,S2,83,2.5201813969033537e-08
0,S2,84,
0,S2,85,
0,S2,86,
0,S2,87,
0,S2,88,
0,S2,89,
0,S2,90,
0,S2,91,
0,S2,92,
0,S2,93,
0,S2,94,
0,S2,95,
0,S2,96,3.6527005420339265e-08
0,S2,97,4.0097017262041845e-08
0,S2,98,4.169032408185558e-08
0,S2,99,4.0112801968916756e-08
0,S2,100,5.705268080191672e-08
0,S2,101,5.970715477587873e-08
0,S2,102,6.145717890149172e-08
0,S2,103,5.968241367781957e-08
0,S2,104,5.2863072141917655e-08
0,S2,105,5.4051000120125536e-08
0,S2,106,5.4968694485069136e-08
0,S2,107,5.3918821407705764e-08
0,S2,108,3.4821912464622073e-08
0,S2,109,3.5280699250961334e-08
0,S2,110,3.5273767906573994e-08
0,S2,111,3.486178457023925e-08
0,S2,112,
0,S2,113,
0,S2,114,
0,S2,115,
0,S2,116,
0,S2,117,
0,S2,118,
0,S2,119,
0,S2,120,
0,S2,121,
0,S2,122,
0,S2,123,
0,S2,124,
0,S2,125,
0,S2,126,
0,S2,127,
0,S2,128,3.0883679613680215e-08
0,S2,129,3.39493944068181e-08
0,S2,130,3.566302098079177e-08
0,S2,131,3.385153846124922e-08
0,S2,132,4.3261078275236287e-08
0,S2,133,4.561562860772028e-08
0,S2,134,4.7388692081540285e-08
0,S2,135,4.544281750895607e-08
0,S2,136,3.818135851929583e-08
0,S2,137,3.9143667862617804e-08
0,S2,138,3.9760550407663686e-08
0,S2,139,3.8756283515795076e-08
0,S2,140,
0,S2,141,
0,S2,142,
0,S2,143,
0,S2,144,
0,S2,145,
0,S2,146,
0,S2,147,
0,S2,148,
0,S2,149,
0,S2,150,
0,S2,151,
0,S2,152,
0,S2,153,
0,S2,154,
0,S2,155,
0,S2,156,
0,S2,157,
0,S2,158,
0,S2,159,
0,S2,160,2.40987017008365e-08
0,S2,161,2.623791495182104e-08
0,S2,162,2.7729752716254552e-08
0,S2,163,2.6188907042978826e-08
0,S2,164,3.368273837622837e-08
0,S2,165,3.6086724719552876e-08
0,S2,166,3.686972860350579e-08
0,S2,167,3.513995849857565e-08
0,S2,168,
0,S2,169,
0,S2,170,
0,S2,171,
0,S2,172,
0,S2,173,
0,S2,174,
0,S2,175,
0,S2,176,
0,S2,177,
0,S2,178,
0,S2,179,
0,S2,180,
0,S2,181,
0,S2,182,
0,S2,183,
0,S2,184,
0,S2,185,
0,S2,186,
0,S2,187,
0,S2,188,
0,S2,189,
0,S2,190,
0,S2,191,
0,S2,192,2.237894314305322e-08
0,S2,193,2.373673879674243e-08
0,S2,194,2.4411317411932032e-08
0,S2,195,2.3735182708151115e-08
