# n_samples=1, J=7, L=4, M=1200, N=1200, whiten=False, device=cpu, kinds=S1,S2,S0
sample,kind,index,value
0,S0,0,2.9882053809160425e-07
0,S1,0,3.9111881733333576e-08
0,S1,1,7.391095380171464e-08
0,S1,2,1.1980708336523094e-07
0,S1,3,1.5497619187954115e-07
0,S1,4,1.5115210771909915e-07
0,S1,5,1.1856975845603301e-07
0,S1,6,7.947716085254797e-08
0,S2,0,6.3197314048579756e-09
0,S2,1,7.131720991537804e-09
0,S2,2,7.559288306424605e-09
0,S2,3,7.132159307587926e-09
0,S2,4,1.2881816502385846e-08
0,S2,5,1.4657683067298422e-08
0,S2,6,1.5776791428834258e-08
0,S2,7,1.4658127156508272e-08
0,S2,8,2.1372532188479454e-08
0,S2,9,2.316208203012593e-08
0,S2,10,2.4543798105014503e-08
0,S2,11,2.3159161699481956e-08
0,S2,12,2.5405059389527196e-08
0,S2,13,2.6448537582268727e-08
0,S2,14,2.735443338508503e-08
0,S2,15,2.6443540690479495e-08
0,S2,16,2.0988730753401796e-08
0,S2,17,2.1359083390848355e-08
0,S2,18,2.1707077024757382e-08
0,S2,19,2.136052046353143e-08
0,S2,20,1.3234363827052675e-08
0,S2,21,1.3340052618104892e-08
0,S2,22,1.3406538101889964e-08
0,S2,23,1.330664645138313e-08
0,S2,24,7.240821719989299e-09
0,S2,25,7.258841527857385e-09
0,S2,26,7.26916260518351e-09
0,S2,27,7.247118460895763e-09
0,S2,28,
0,S2,29,
0,S2,30,
0,S2,31,
0,S2,32,1.5421207422150474e-08
0,S2,33,1.739930866051509e-08
0,S2,34,1.8271171242645323e-08
0,S2,35,1.7398461338302695e-08
0,S2,36,3.181806107477314e-08
0,S2,37,3.426917771776061e-08
0,S2,38,3.579367557904334e-08
0,S2,39,3.426600869715912e-08
0,S2,40,4.40171348259355e-08
0,S2,41,4.566713585063553e-08
0,S2,42,4.697979250067874e-08
0,S2,43,4.566309286246906e-08
0,S2,44,3.878178134186783e-08
0,S2,45,3.943369719650036e-08
0,S2,46,4.0028687919857475e-08
0,S2,47,3.943582882470764e-08
0,S2,48,2.518062913736685e-08
0,S2,49,2.536541998665598e-08
0,S2,50,2.5527890912258044e-08
0,S2,51,2.533458598463767e-08
0,S2,52,1.3996088732426415e-08
0,S2,53,1.4023476602176288e-08
0,S2,54,1.4039220452843892e-08
0,S2,55,1.3995680170353353e-08
0,S2,56,
0,S2,57,
0,S2,58,
0,S2,59,
0,S2,60,
0,S2,61,
0,S2,62,
0,S2,63,
0,S2,64,2.8641366611736885e-08
0,S2,65,3.1630598584797553e-08
0,S2,66,3.2942715222361585e-08
0,S2,67,3.163408024420278e-08
0,S2,68,5.2879894241186776e-08
0,S2,69,5.56161481313211e-08
0,S2,70,5.735852326438362e-08
0,S2,71,5.563513028050693e-08
0,S2,72,5.734763064424442e-08
0,S2,73,5.84493022870447e-08
0,S2,74,5.9415654618533154e-08
0,S2,75,5.847643080869602e-08
0,S2,76,4.0946943613562325e-08
0,S2,77,4.1298690689473005e-08
0,S2,78,4.1563424701962504e-08
0,S2,79,4.117123353353236e-08
0,S2,80,2.356154382709974e-08
0,S2,81,2.3647604763255003e-08
0,S2,82,2.3725405640107056e-08
0,S2,83,2.3568938800622163e-08
0,S2,84,
0,S2,85,
0,S2,86,
0,S2,87,
0,S2,88,
0,S2,89,
0,S2,90,
0,S2,91,
0,S2,92,
0,S2,93,
0,S2,94,
0,S2,95,
0,S2,96,3.476903387422681e-08
0,S2,97,3.84179763557313e-08
0,S2,98,4.0168728787648433e-08
0,S2,99,3.846484730729571e-08
0,S2,100,5.421270543592982e-08
0,S2,101,5.664442426223104e-08
0,S2,102,5.841782879656421e-08
0,S2,103,5.678872483372288e-08
0,S2,104,5.0163272646841506e-08
0,S2,105,5.088242005513166e-08
0,S2,106,5.145959391938959e-08
0,S2,107,5.0700283082960595e-08
0,S2,108,3.22997237844902e-08
0,S2,109,3.227415845685755e-08
0,S2,110,3.2502704527814785e-08
0,S2,111,3.2080997414141166e-08
0,S2,112,
0,S2,113,
0,S2,114,
0,S2,115,
0,S2,116,
0,S2,117,
0,S2,118,
0,S2,119,
0,S2,120,
0,S2,121,
0,S2,122,
0,S2,123,
0,S2,124,
0,S2,125,
0,S2,126,
0,S2,127,
0,S2,128,2.841601265402005e-08
0,S2,129,3.1379077114479514e-08
0,S2,130,3.313331475851555e-08
0,S2,131,3.1638563768865424e-08
0,S2,132,3.9809606278140564e-08
0,S2,133,4.173314493982616e-08
0,S2,134,4.3118262738062185e-08
0,S2,135,4.169544354226673e-08
0,S2,136,3.409189730518847e-08
0,S2,137,3.452081998034373e-08
0,S2,138,3.474385579238515e-08
0,S2,139,3.407223303497631e-08
0,S2,140,
0,S2,141,
0,S2,142,
0,S2,143,
0,S2,144,
0,S2,145,
0,S2,146,
0,S2,147,
0,S2,148,
0,S2,149,
0,S2,150,
