# n_samples=1, J=7, L=4, M=1200, N=1200, whiten=False, device=cpu, kinds=S1,S2,S0
sample,kind,index,value
0,S0,0,3.3332872817481984e-07
0,S1,0,3.8784808253922165e-08
0,S1,1,7.427882309229972e-08
0,S1,2,1.2328372633874096e-07
0,S1,3,1.6562219684601587e-07
0,S1,4,1.712434709588706e-07
0,S1,5,1.4098242218096857e-07
0,S1,6,1.0980694753470743e-07
0,S2,0,5.9935927332332994e-09
0,S2,1,6.779079964047696e-09
0,S2,2,7.199002727276138e-09
0,S2,3,6.778340999602506e-09
0,S2,4,1.220525991385557e-08
0,S2,5,1.3983297186825894e-08
0,S2,6,1.5101832673281024e-08
0,S2,7,1.398455040657609e-08
0,S2,8,2.057853265569065e-08
0,S2,9,2.2449212266906216e-08
0,S2,10,2.3884876299007374e-08
0,S2,11,2.2448952918807663e-08
0,S2,12,2.515892205678938e-08
0,S2,13,2.6337589886793467e-08
0,S2,14,2.7343315167627225e-08
0,S2,15,2.6330003066732388e-08
0,S2,16,2.1449860554412226e-08
0,S2,17,2.192231995934435e-08
0,S2,18,2.235850793397276e-08
0,S2,19,2.1928965310280546e-08
0,S2,20,1.3813217236702258e-08
0,S2,21,1.3929083664265818e-08
0,S2,22,1.4057315311788443e-08
0,S2,23,1.394219673045427e-08
0,S2,24,8.317132760282675e-09
0,S2,25,8.345385715813336e-09
0,S2,26,8.371719317779025e-09
0,S2,27,8.3396853867157e-09
0,S2,28,
0,S2,29,
0,S2,30,
0,S2,31,
0,S2,32,1.503167723626575e-08
0,S2,33,1.7011947406331274e-08
0,S2,34,1.7896439885589643e-08
0,S2,35,1.7012098396662623e-08
0,S2,36,3.126150005527961e-08
0,S2,37,3.381732227580869e-08
0,S2,38,3.541061843748139e-08
0,S2,39,3.381315494266346e-08
0,S2,40,4.426176047900299e-08
0,S2,41,4.6143178167312726e-08
0,S2,42,4.761807304021204e-08
0,S2,43,4.6126501729304437e-08
0,S2,44,4.034452771861652e-08
0,S2,45,4.119103635957799e-08
0,S2,46,4.1968654329593846e-08
0,S2,47,4.122404106965405e-08
0,S2,48,2.6794666041496384e-08
0,S2,49,2.7040293559821293e-08
0,S2,50,2.7297376803403495e-08
0,S2,51,2.7069589236816682e-08
0,S2,52,1.6480907305549408e-08
0,S2,53,1.6553599380131345e-08
0,S2,54,1.6586746198754554e-08
0,S2,55,1.653039305438142e-08
0,S2,56,
0,S2,57,
0,S2,58,
0,S2,59,
0,S2,60,
0,S2,61,
0,S2,62,
0,S2,63,
0,S2,64,2.9166905335387128e-08
0,S2,65,3.2277899464361326e-08
0,S2,66,3.366834278040187e-08
0,S2,67,3.2267863048218715e-08
0,S2,68,5.469297548188479e-08
0,S2,69,5.772876221499246e-08
0,S2,70,5.960833249218922e-08
0,S2,71,5.772037070528313e-08
0,S2,72,6.157863907674255e-08
0,S2,73,6.298787980085763e-08
0,S2,74,6.418081710535262e-08
0,S2,75,6.302340693764563e-08
0,S2,76,4.503602468730605e-08
0,S2,77,4.5470493148513924e-08
0,S2,78,4.5941302317942245e-08
0,S2,79,4.549254128960456e-08
0,S2,80,2.905544782549896e-08
0,S2,81,2.9184054284314698e-08
0,S2,82,2.9280707636303305e-08
0,S2,83,2.914462271519369e-08
0,S2,84,
0,S2,85,
0,S2,86,
0,S2,87,
0,S2,88,
0,S2,89,
0,S2,90,
0,S2,91,
0,S2,92,
0,S2,93,
0,S2,94,
0,S2,95,
0,S2,96,3.778758284056494e-08
0,S2,97,4.182061630331191e-08
0,S2,98,4.372634521132568e-08
0,S2,99,4.183628021792174e-08
